Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:31:07.035000,VER,1,0 days 00:01:18.083000,41.0,2.0,,,0 days 00:00:20.776000,0 days 00:00:36.567000,0 days 00:00:20.740000,0 days 02:30:09.705000,0 days 02:30:46.272000,0 days 02:31:07.012000,187.0,191.0,258.0,264.0,True,MEDIUM,40.0,True,Red Bull Racing,0 days 02:29:48.952000,2024-05-26 14:37:54.341,1,6.0,False,,False,True
0 days 02:32:25.109000,VER,1,0 days 00:01:18.074000,42.0,2.0,,,0 days 00:00:20.728000,0 days 00:00:36.721000,0 days 00:00:20.625000,0 days 02:31:27.740000,0 days 02:32:04.461000,0 days 02:32:25.086000,180.0,188.0,257.0,264.0,True,MEDIUM,41.0,True,Red Bull Racing,0 days 02:31:07.035000,2024-05-26 14:39:12.424,1,6.0,False,,False,True
0 days 02:33:43.467000,VER,1,0 days 00:01:18.358000,43.0,2.0,,,0 days 00:00:20.913000,0 days 00:00:36.517000,0 days 00:00:20.928000,0 days 02:32:45.999000,0 days 02:33:22.516000,0 days 02:33:43.444000,187.0,189.0,258.0,266.0,False,MEDIUM,42.0,True,Red Bull Racing,0 days 02:32:25.109000,2024-05-26 14:40:30.498,1,6.0,False,,False,True
0 days 02:35:01.872000,VER,1,0 days 00:01:18.405000,44.0,2.0,,,0 days 00:00:20.976000,0 days 00:00:36.685000,0 days 00:00:20.744000,0 days 02:34:04.420000,0 days 02:34:41.105000,0 days 02:35:01.849000,192.0,189.0,257.0,266.0,False,MEDIUM,43.0,True,Red Bull Racing,0 days 02:33:43.467000,2024-05-26 14:41:48.856,1,6.0,False,,False,True
0 days 02:36:20.185000,VER,1,0 days 00:01:18.313000,45.0,2.0,,,0 days 00:00:20.742000,0 days 00:00:36.682000,0 days 00:00:20.889000,0 days 02:35:22.591000,0 days 02:35:59.273000,0 days 02:36:20.162000,179.0,187.0,258.0,267.0,False,MEDIUM,44.0,True,Red Bull Racing,0 days 02:35:01.872000,2024-05-26 14:43:07.261,1,6.0,False,,False,True
0 days 02:37:38.388000,VER,1,0 days 00:01:18.203000,46.0,2.0,,,0 days 00:00:20.832000,0 days 00:00:36.559000,0 days 00:00:20.812000,0 days 02:36:40.994000,0 days 02:37:17.553000,0 days 02:37:38.365000,,189.0,258.0,268.0,False,MEDIUM,45.0,True,Red Bull Racing,0 days 02:36:20.185000,2024-05-26 14:44:25.574,1,6.0,False,,False,True
0 days 02:38:56.925000,VER,1,0 days 00:01:18.537000,47.0,2.0,,,0 days 00:00:20.799000,0 days 00:00:36.688000,0 days 00:00:21.050000,0 days 02:37:59.164000,0 days 02:38:35.852000,0 days 02:38:56.902000,192.0,189.0,258.0,268.0,False,MEDIUM,46.0,True,Red Bull Racing,0 days 02:37:38.388000,2024-05-26 14:45:43.777,1,6.0,False,,False,True
0 days 02:40:15.262000,VER,1,0 days 00:01:18.337000,48.0,2.0,,,0 days 00:00:20.716000,0 days 00:00:36.661000,0 days 00:00:20.960000,0 days 02:39:17.618000,0 days 02:39:54.279000,0 days 02:40:15.239000,194.0,187.0,259.0,268.0,False,MEDIUM,47.0,True,Red Bull Racing,0 days 02:38:56.925000,2024-05-26 14:47:02.314,1,6.0,False,,False,True
0 days 02:41:33.739000,VER,1,0 days 00:01:18.477000,49.0,2.0,,,0 days 00:00:20.770000,0 days 00:00:36.778000,0 days 00:00:20.929000,0 days 02:40:36.009000,0 days 02:41:12.787000,0 days 02:41:33.716000,184.0,189.0,267.0,268.0,False,MEDIUM,48.0,True,Red Bull Racing,0 days 02:40:15.262000,2024-05-26 14:48:20.651,1,6.0,False,,False,True
0 days 02:42:52.619000,VER,1,0 days 00:01:18.880000,50.0,2.0,,,0 days 00:00:21.141000,0 days 00:00:36.859000,0 days 00:00:20.880000,0 days 02:41:54.857000,0 days 02:42:31.716000,0 days 02:42:52.596000,185.0,193.0,259.0,267.0,False,MEDIUM,49.0,True,Red Bull Racing,0 days 02:41:33.739000,2024-05-26 14:49:39.128,1,6.0,False,,False,True
0 days 02:44:10.761000,VER,1,0 days 00:01:18.142000,51.0,2.0,,,0 days 00:00:20.787000,0 days 00:00:36.565000,0 days 00:00:20.790000,0 days 02:43:13.383000,0 days 02:43:49.948000,0 days 02:44:10.738000,191.0,188.0,260.0,266.0,False,MEDIUM,50.0,True,Red Bull Racing,0 days 02:42:52.619000,2024-05-26 14:50:58.008,1,6.0,False,,False,True
