Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,Track_Temp,WindDirection,WindSpeed,Cumulative_Tire_Distance,Driver_Meters,Driver_Ahead,Gap_Ahead,Driver_Behind,Gap_Behind
0 days 00:37:58.405000,VAN,2,0 days 00:01:18.452000,23.0,2.0,,,0 days 00:00:20.557000,0 days 00:00:36.680000,0 days 00:00:21.215000,0 days 00:37:00.562000,0 days 00:37:37.242000,0 days 00:37:58.457000,199.0,186.0,257.0,280.0,False,SUPERSOFT,3.0,True,McLaren,0 days 00:36:39.953000,2018-05-27 13:42:39.983,1,17.0,False,,False,True,27.2,44.9,1015.1,False,34.3,162.0,2.2,10011.0,76751.0,"('MAG',)",0.216,"('GRO',)",-0.45599999999999996
0 days 00:39:15.556000,VAN,2,0 days 00:01:17.151000,24.0,2.0,,,0 days 00:00:20.586000,0 days 00:00:36.105000,0 days 00:00:20.460000,0 days 00:38:19.043000,0 days 00:38:55.148000,0 days 00:39:15.608000,202.0,191.0,258.0,280.0,True,SUPERSOFT,4.0,True,McLaren,0 days 00:37:58.405000,2018-05-27 13:43:58.435,1,17.0,False,,False,True,27.6,43.7,1015.1,False,34.4,176.0,1.7,13348.0,80088.0,"('MAG',)",-1.33,"('GRO',)",0.57
0 days 00:40:33.230000,VAN,2,0 days 00:01:17.674000,25.0,2.0,,,0 days 00:00:20.434000,0 days 00:00:36.600000,0 days 00:00:20.640000,0 days 00:39:36.042000,0 days 00:40:12.642000,0 days 00:40:33.282000,203.0,191.0,259.0,281.0,False,SUPERSOFT,5.0,True,McLaren,0 days 00:39:15.556000,2018-05-27 13:45:15.586,1,17.0,False,,False,True,27.4,45.5,1015.05,False,34.15,169.5,1.2000000000000002,16685.0,83425.0,"('MAG',)",-0.364,"('GRO',)",-0.02300000000000002
0 days 00:41:51.047000,VAN,2,0 days 00:01:17.817000,26.0,2.0,,,0 days 00:00:20.540000,0 days 00:00:36.453000,0 days 00:00:20.824000,0 days 00:40:53.822000,0 days 00:41:30.275000,0 days 00:41:51.099000,204.0,182.0,259.0,282.0,False,SUPERSOFT,6.0,True,McLaren,0 days 00:40:33.230000,2018-05-27 13:46:33.260,1,17.0,False,,False,True,27.3,47.1,1015.0,False,33.8,180.0,0.8,20022.0,86762.0,"('MAG',)",0.102,"('GRO',)",-0.29400000000000004
0 days 00:43:08.519000,VAN,2,0 days 00:01:17.472000,27.0,2.0,,,0 days 00:00:20.406000,0 days 00:00:36.379000,0 days 00:00:20.687000,0 days 00:42:11.505000,0 days 00:42:47.884000,0 days 00:43:08.571000,208.0,189.0,258.0,283.0,False,SUPERSOFT,7.0,True,McLaren,0 days 00:41:51.047000,2018-05-27 13:47:51.077,1,17.0,False,,False,True,27.1,48.0,1015.0,False,33.7,142.0,1.9,23359.0,90099.0,"('MAG',)",-0.11499999999999999,"('GRO',)",0.509
0 days 00:44:26.487000,VAN,2,0 days 00:01:17.968000,28.0,2.0,,,0 days 00:00:20.567000,0 days 00:00:36.489000,0 days 00:00:20.912000,0 days 00:43:29.138000,0 days 00:44:05.627000,0 days 00:44:26.539000,204.0,189.0,260.0,283.0,False,SUPERSOFT,8.0,True,McLaren,0 days 00:43:08.519000,2018-05-27 13:49:08.549,1,17.0,False,,False,True,27.0,48.349999999999994,1015.05,False,34.0,152.0,1.6,26696.0,93436.0,"('MAG',)",-0.256,"('GRO',)",0.005
0 days 00:45:45.760000,VAN,2,0 days 00:01:19.273000,29.0,2.0,,,0 days 00:00:20.579000,0 days 00:00:37.344000,0 days 00:00:21.350000,0 days 00:44:47.118000,0 days 00:45:24.462000,0 days 00:45:45.812000,199.0,171.0,257.0,285.0,False,SUPERSOFT,9.0,True,McLaren,0 days 00:44:26.487000,2018-05-27 13:50:26.517,1,17.0,False,,False,True,27.4,46.1,1015.0,False,34.4,158.0,0.9,30033.0,96773.0,"('MAG',)",0.577,"('GRO',)",-0.41000000000000003
0 days 00:47:03.434000,VAN,2,0 days 00:01:17.674000,30.0,2.0,,,0 days 00:00:20.717000,0 days 00:00:36.344000,0 days 00:00:20.613000,0 days 00:46:06.529000,0 days 00:46:42.873000,0 days 00:47:03.486000,207.0,190.0,258.0,282.0,False,SUPERSOFT,10.0,True,McLaren,0 days 00:45:45.760000,2018-05-27 13:51:45.790,1,17.0,False,,False,True,27.5,45.6,1015.0,False,34.4,158.0,2.1,33370.0,100110.0,"('MAG',)",-1.947,"('GRO',)",2.484
0 days 00:48:21.832000,VAN,2,0 days 00:01:18.398000,31.0,2.0,,,0 days 00:00:20.609000,0 days 00:00:36.780000,0 days 00:00:21.009000,0 days 00:47:24.095000,0 days 00:48:00.875000,0 days 00:48:21.884000,202.0,190.0,260.0,283.0,False,SUPERSOFT,11.0,True,McLaren,0 days 00:47:03.434000,2018-05-27 13:53:03.464,1,17.0,False,,False,True,27.5,45.1,1014.9,False,34.5,163.0,2.2,36707.0,103447.0,"('MAG',)",-2.227,"('GRO',)",0.25
0 days 00:49:40.578000,VAN,2,0 days 00:01:18.746000,32.0,2.0,,,0 days 00:00:20.873000,0 days 00:00:36.720000,0 days 00:00:21.153000,0 days 00:48:42.757000,0 days 00:49:19.477000,0 days 00:49:40.630000,191.0,188.0,261.0,283.0,False,SUPERSOFT,12.0,True,McLaren,0 days 00:48:21.832000,2018-05-27 13:54:21.862,1,17.0,False,,False,True,27.5,45.8,1014.9,False,34.2,168.0,1.6,40044.0,106784.0,"('MAG',)",-0.631,"('GRO',)",-0.09199999999999997
